"","TIME","GEO","SEX","CITIZEN","AGE","WSTATUS","UNIT","Value","isoref"
"6",2008,"Belgium","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"12",2008,"Belgium","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"18",2008,"Belgium","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"24",2008,"Bulgaria","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"30",2008,"Bulgaria","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"36",2008,"Bulgaria","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"42",2008,"Czechia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"48",2008,"Czechia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"54",2008,"Czechia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"60",2008,"Denmark","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"66",2008,"Denmark","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"72",2008,"Denmark","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"78",2008,"Estonia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"84",2008,"Estonia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"90",2008,"Estonia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"96",2008,"Ireland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"102",2008,"Ireland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"108",2008,"Ireland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"114",2008,"Greece","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"120",2008,"Greece","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"126",2008,"Greece","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"132",2008,"Spain","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"138",2008,"Spain","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"144",2008,"Spain","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"150",2008,"France","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"156",2008,"France","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"162",2008,"France","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"168",2008,"Croatia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"174",2008,"Croatia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"180",2008,"Croatia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"186",2008,"Italy","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"192",2008,"Italy","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"198",2008,"Italy","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"204",2008,"Cyprus","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"210",2008,"Cyprus","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"216",2008,"Cyprus","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"222",2008,"Latvia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"228",2008,"Latvia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"234",2008,"Latvia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"240",2008,"Lithuania","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"246",2008,"Lithuania","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"252",2008,"Lithuania","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"258",2008,"Luxembourg","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"264",2008,"Luxembourg","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"270",2008,"Luxembourg","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"276",2008,"Hungary","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"282",2008,"Hungary","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"288",2008,"Hungary","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"294",2008,"Malta","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"300",2008,"Malta","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"306",2008,"Malta","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"312",2008,"Netherlands","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"318",2008,"Netherlands","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"324",2008,"Netherlands","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"330",2008,"Austria","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"336",2008,"Austria","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"342",2008,"Austria","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"348",2008,"Poland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"354",2008,"Poland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"360",2008,"Poland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"366",2008,"Portugal","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"372",2008,"Portugal","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"378",2008,"Portugal","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"384",2008,"Romania","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"390",2008,"Romania","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"396",2008,"Romania","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"402",2008,"Slovenia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"408",2008,"Slovenia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"414",2008,"Slovenia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"420",2008,"Slovakia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"426",2008,"Slovakia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"432",2008,"Slovakia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"438",2008,"Finland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"444",2008,"Finland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"450",2008,"Finland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"456",2008,"Sweden","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"462",2008,"Sweden","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"468",2008,"Sweden","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"474",2008,"Iceland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"480",2008,"Iceland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"486",2008,"Iceland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"492",2008,"Norway","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"498",2008,"Norway","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"504",2008,"Norway","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"510",2008,"Switzerland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"516",2008,"Switzerland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"522",2008,"Switzerland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"528",2008,"Montenegro","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"534",2008,"Montenegro","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"540",2008,"Montenegro","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"546",2008,"Serbia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"552",2008,"Serbia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"558",2008,"Serbia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"564",2008,"Turkey","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"570",2008,"Turkey","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"576",2008,"Turkey","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"582",2009,"Belgium","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"588",2009,"Belgium","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"594",2009,"Belgium","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"600",2009,"Bulgaria","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"606",2009,"Bulgaria","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"612",2009,"Bulgaria","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"618",2009,"Czechia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"624",2009,"Czechia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"630",2009,"Czechia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"636",2009,"Denmark","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"642",2009,"Denmark","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"648",2009,"Denmark","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"654",2009,"Estonia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"660",2009,"Estonia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"666",2009,"Estonia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"672",2009,"Ireland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"678",2009,"Ireland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"684",2009,"Ireland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"690",2009,"Greece","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"696",2009,"Greece","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"702",2009,"Greece","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"708",2009,"Spain","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"714",2009,"Spain","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"720",2009,"Spain","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"726",2009,"France","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"732",2009,"France","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"738",2009,"France","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"744",2009,"Croatia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"750",2009,"Croatia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"756",2009,"Croatia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"hr"
"762",2009,"Italy","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"768",2009,"Italy","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"774",2009,"Italy","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"it"
"780",2009,"Cyprus","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"786",2009,"Cyprus","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"792",2009,"Cyprus","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"cy"
"798",2009,"Latvia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"804",2009,"Latvia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"810",2009,"Latvia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lv"
"816",2009,"Lithuania","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"822",2009,"Lithuania","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"828",2009,"Lithuania","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lt"
"834",2009,"Luxembourg","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"840",2009,"Luxembourg","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"846",2009,"Luxembourg","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"lu"
"852",2009,"Hungary","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"858",2009,"Hungary","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"864",2009,"Hungary","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"hu"
"870",2009,"Malta","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"876",2009,"Malta","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"882",2009,"Malta","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"mt"
"888",2009,"Netherlands","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"894",2009,"Netherlands","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"900",2009,"Netherlands","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"nl"
"906",2009,"Austria","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"912",2009,"Austria","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"918",2009,"Austria","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"at"
"924",2009,"Poland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"930",2009,"Poland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"936",2009,"Poland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"pl"
"942",2009,"Portugal","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"948",2009,"Portugal","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"954",2009,"Portugal","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"pt"
"960",2009,"Romania","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"966",2009,"Romania","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"972",2009,"Romania","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ro"
"978",2009,"Slovenia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"984",2009,"Slovenia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"990",2009,"Slovenia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"si"
"996",2009,"Slovakia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"1002",2009,"Slovakia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"1008",2009,"Slovakia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"sk"
"1014",2009,"Finland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"1020",2009,"Finland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"1026",2009,"Finland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"fi"
"1032",2009,"Sweden","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"1038",2009,"Sweden","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"1044",2009,"Sweden","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"se"
"1050",2009,"Iceland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"1056",2009,"Iceland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"1062",2009,"Iceland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"is"
"1068",2009,"Norway","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"1074",2009,"Norway","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"1080",2009,"Norway","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"no"
"1086",2009,"Switzerland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"1092",2009,"Switzerland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"1098",2009,"Switzerland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ch"
"1104",2009,"Montenegro","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"1110",2009,"Montenegro","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"1116",2009,"Montenegro","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"me"
"1122",2009,"Serbia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"1128",2009,"Serbia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"1134",2009,"Serbia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"rs"
"1140",2009,"Turkey","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"1146",2009,"Turkey","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"1152",2009,"Turkey","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"tr"
"1158",2010,"Belgium","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"1164",2010,"Belgium","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"1170",2010,"Belgium","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"be"
"1176",2010,"Bulgaria","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"1182",2010,"Bulgaria","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"1188",2010,"Bulgaria","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"bg"
"1194",2010,"Czechia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"1200",2010,"Czechia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"1206",2010,"Czechia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"cz"
"1212",2010,"Denmark","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"1218",2010,"Denmark","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"1224",2010,"Denmark","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"dk"
"1230",2010,"Estonia","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"1236",2010,"Estonia","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"1242",2010,"Estonia","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ee"
"1248",2010,"Ireland","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"1254",2010,"Ireland","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"1260",2010,"Ireland","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"ie"
"1266",2010,"Greece","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"1272",2010,"Greece","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"1278",2010,"Greece","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"gr"
"1284",2010,"Spain","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"1290",2010,"Spain","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"1296",2010,"Spain","Females","Total","From 15 to 64 years","Unknown","Thousand",0,"es"
"1302",2010,"France","Total","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
"1308",2010,"France","Males","Total","From 15 to 64 years","Unknown","Thousand",0,"fr"
